x,y,label
2.10414,2.48832,1.00000
-1.61337,-2.59194,1.00000
1.55227,2.19345,1.00000
-3.01534,-0.96775,1.00000
2.93378,2.45302,1.00000
2.42842,1.67449,1.00000
1.19305,1.89363,1.00000
-1.65423,-1.65263,1.00000
-2.29866,-2.11896,1.00000
2.47363,1.92249,1.00000
2.74704,1.89742,1.00000
2.19800,1.45347,1.00000
-2.92153,-2.23899,1.00000
1.95077,1.66826,1.00000
-2.22046,-2.14018,1.00000
-2.19244,-1.95282,1.00000
-2.32181,-3.11170,1.00000
-1.65509,-1.34908,1.00000
1.59343,1.13686,1.00000
-1.61410,-1.58825,1.00000
-1.68738,-2.80103,1.00000
-2.19972,-1.81497,1.00000
1.54635,2.02597,1.00000
-2.87795,-1.77453,1.00000
-2.01964,-2.58405,1.00000
2.43222,1.62892,1.00000
-2.02109,-2.14344,1.00000
-1.75313,-2.05805,1.00000
-2.32620,-2.19548,1.00000
2.36455,2.06449,1.00000
-2.05527,-1.48991,1.00000
2.23283,1.23188,1.00000
1.38728,2.42218,1.00000
1.25437,2.21970,1.00000
-1.73947,-2.28789,1.00000
1.98591,2.21417,1.00000
1.86600,2.40123,1.00000
-2.03081,-2.05365,1.00000
1.68208,2.33822,1.00000
2.14912,2.66319,1.00000
1.94839,2.20530,1.00000
-1.46575,-2.22669,1.00000
2.76639,2.73468,1.00000
-2.64643,-1.86647,1.00000
1.56939,2.95503,1.00000
1.46462,2.52723,1.00000
-1.60684,-2.23321,1.00000
1.82604,2.07817,1.00000
2.56332,1.46003,1.00000
-2.59443,-2.25341,1.00000
-1.45017,-1.67237,1.00000
-1.62641,-2.59447,1.00000
2.18821,1.45030,1.00000
-1.02204,-1.80495,1.00000
-1.71074,-1.82517,1.00000
-2.18235,-1.92165,1.00000
1.75098,2.96477,1.00000
-2.31872,-2.19864,1.00000
-1.80048,-3.38630,1.00000
-2.32615,-2.26059,1.00000
1.55611,1.00960,1.00000
1.41344,2.97181,1.00000
2.22193,2.16684,1.00000
-1.92902,-2.15966,1.00000
1.54359,2.55851,1.00000
1.49989,1.22761,1.00000
-2.66713,-2.67336,1.00000
2.56970,1.38259,1.00000
2.47471,2.04378,1.00000
1.80634,1.84885,1.00000
1.74517,1.78096,1.00000
-2.47797,-2.17299,1.00000
2.33615,2.20373,1.00000
-2.56341,-2.36534,1.00000
-1.92175,-1.88391,1.00000
-2.36978,-1.22849,1.00000
2.08871,1.79911,1.00000
2.30704,2.46110,1.00000
2.20117,1.65759,1.00000
1.78242,2.92463,1.00000
-2.06644,-2.14890,1.00000
-1.73805,-1.95579,1.00000
1.66377,1.82022,1.00000
1.74460,1.40968,1.00000
1.41743,2.45041,1.00000
-2.35235,-1.52837,1.00000
-2.23180,-1.75926,1.00000
-2.47222,-2.20502,1.00000
2.02288,1.90641,1.00000
-2.34602,-1.23181,1.00000
1.14686,2.97539,1.00000
-2.55219,-1.97392,1.00000
2.17818,2.35329,1.00000
-2.01216,-2.36902,1.00000
1.65272,1.92518,1.00000
1.42627,1.78109,1.00000
2.58939,1.91004,1.00000
-2.34392,-2.60704,1.00000
1.79319,1.62627,1.00000
-2.35980,-2.40650,1.00000
-1.85683,-1.69558,1.00000
-2.57868,-2.15615,1.00000
-2.38207,-2.71890,1.00000
1.62762,1.58678,1.00000
-1.86274,-2.44546,1.00000
1.36476,2.48470,1.00000
-2.96814,-1.90561,1.00000
2.46043,2.15936,1.00000
1.96588,2.85667,1.00000
-2.71203,-2.24666,1.00000
-2.29816,-2.02628,1.00000
-2.77040,-1.96837,1.00000
2.38052,2.06084,1.00000
-2.05908,-2.34009,1.00000
2.48937,3.12045,1.00000
1.56460,1.71058,1.00000
2.07202,2.72714,1.00000
-1.95114,-1.70852,1.00000
1.37360,2.38875,1.00000
-2.06797,-1.43155,1.00000
-2.79147,-1.69481,1.00000
2.07747,2.18908,1.00000
-2.65326,-1.17093,1.00000
-1.73836,-2.08577,1.00000
1.66283,2.01592,1.00000
-1.66681,-2.23036,1.00000
-2.23983,-1.68982,1.00000
-2.06685,-1.46113,1.00000
-2.36280,-2.69168,1.00000
-1.25276,-3.03499,1.00000
-2.52263,-1.39443,1.00000
-2.07883,-0.87164,1.00000
-2.31404,-2.24051,1.00000
-0.84804,-2.53001,1.00000
-2.15544,-1.95130,1.00000
2.88203,2.20008,1.00000
2.96147,2.74026,1.00000
1.79841,2.61122,1.00000
-3.32959,-1.69684,1.00000
-1.42383,-1.46019,1.00000
1.84422,2.02808,1.00000
2.61515,2.60119,1.00000
3.19157,2.47224,1.00000
-2.34201,-1.17022,1.00000
1.59830,1.65523,1.00000
2.94158,1.32612,1.00000
-0.91838,-1.33174,1.00000
1.18490,2.23139,1.00000
-2.15451,-2.83800,1.00000
-1.86004,-2.04908,1.00000
3.13488,1.27282,1.00000
0.72351,2.32681,1.00000
-1.54491,-1.84139,1.00000
2.28830,1.89585,1.00000
-1.31773,-2.34472,1.00000
-2.18459,-2.11969,1.00000
-2.57809,-1.60940,1.00000
-2.40668,-2.73321,1.00000
1.77223,2.00874,1.00000
-2.00851,-1.81042,1.00000
-2.27143,-1.79197,1.00000
2.93378,1.51136,1.00000
2.15653,1.57295,1.00000
-1.67993,-2.80848,1.00000
2.00525,2.89294,1.00000
1.48288,2.34080,1.00000
-1.65311,-2.07979,1.00000
2.03326,2.15124,1.00000
2.74413,2.94794,1.00000
1.47572,1.28999,1.00000
-1.78687,-1.66155,1.00000
1.61504,2.26962,1.00000
2.59401,2.15847,1.00000
1.34205,1.76921,1.00000
2.47504,1.92432,1.00000
1.68284,1.81863,1.00000
-2.17700,-2.68748,1.00000
2.08334,2.31752,1.00000
2.06346,2.20099,1.00000
-0.87035,-2.02113,1.00000
1.37823,-0.09537,-1.00000
2.60396,-3.74843,-1.00000
2.46440,0.52494,-1.00000
-1.61902,-3.62643,-1.00000
3.92502,-3.94539,-1.00000
-0.98049,-0.04682,-1.00000
3.43159,-0.83637,-1.00000
3.79165,0.19532,-1.00000
-3.25110,2.50647,-1.00000
-2.30651,0.43477,-1.00000
-1.66185,2.52914,-1.00000
2.62434,-2.22738,-1.00000
1.15868,-3.23855,-1.00000
-0.70669,-3.22508,-1.00000
-0.18675,-3.37909,-1.00000
-2.11965,-3.94758,-1.00000
3.18915,0.41788,-1.00000
-2.65963,3.43103,-1.00000
