x,y,label
0.83686,2.13636,1.00000
-1.41366,7.40962,3.00000
1.15521,5.09962,0.00000
-1.01862,7.81491,3.00000
1.27135,1.89254,1.00000
3.43762,0.26165,1.00000
-1.80822,1.59702,2.00000
1.41372,4.38118,0.00000
-0.20493,8.43210,3.00000
-0.71110,8.66044,3.00000
-1.71237,2.77780,2.00000
-2.67001,8.35389,3.00000
1.24259,4.50399,0.00000
-2.22784,6.89480,3.00000
1.45514,-0.02920,1.00000
0.45379,3.95648,0.00000
1.06924,4.53068,0.00000
2.56937,0.50705,1.00000
-1.06691,3.13166,2.00000
-1.07859,2.20452,2.00000
2.71506,1.29082,1.00000
1.77711,1.18655,1.00000
0.73436,5.03725,0.00000
-1.99648,2.85165,2.00000
-1.91828,2.60517,2.00000
-0.55552,4.69596,0.00000
1.69748,0.86612,1.00000
0.59476,4.70965,0.00000
-2.88024,2.30438,2.00000
0.18673,4.02684,0.00000
-0.51333,7.87437,3.00000
-2.05701,7.37852,3.00000
1.87272,4.18069,0.00000
-1.13121,6.76652,3.00000
-1.64429,7.94095,3.00000
-2.41934,7.43952,3.00000
-2.01607,7.48420,3.00000
-2.62143,7.98635,3.00000
-2.20300,2.47948,2.00000
1.66382,0.66309,1.00000
0.66979,3.59541,0.00000
-1.98539,2.05521,2.00000
-0.04749,5.47425,0.00000
1.54462,4.21078,0.00000
-1.70201,2.46099,2.00000
-1.02193,2.76821,2.00000
-1.37843,8.10270,3.00000
-1.55221,2.74575,2.00000
-1.47904,7.56916,3.00000
1.98894,1.50977,1.00000
-1.94972,3.48384,2.00000
2.45510,0.62123,1.00000
-0.89433,7.61714,3.00000
1.69688,0.75491,1.00000
1.75645,2.05538,1.00000
-1.11064,2.82214,2.00000
-0.04150,7.80870,3.00000
-1.14092,1.97551,2.00000
-1.80635,7.72831,3.00000
1.39264,0.92896,1.00000
-2.25699,7.30208,3.00000
0.57167,4.32289,0.00000
-1.54995,9.28293,3.00000
-1.03819,2.95324,2.00000
-2.10957,3.10677,2.00000
-1.18653,2.78428,2.00000
-2.45810,7.51179,3.00000
2.36960,0.95072,1.00000
-2.66676,7.84766,3.00000
-1.49721,3.21418,2.00000
1.32222,4.17881,0.00000
-0.48727,3.32858,2.00000
-1.03719,8.06300,3.00000
-1.60497,2.97425,2.00000
-1.50373,1.92385,2.00000
-0.78541,8.45312,3.00000
-1.75783,2.97449,2.00000
1.19009,4.72773,0.00000
2.14044,0.70607,1.00000
-1.03540,8.20559,3.00000
1.25471,0.08963,1.00000
0.59568,4.08614,0.00000
1.27955,1.05789,1.00000
1.72955,1.14729,1.00000
-0.94904,8.46424,3.00000
