x,y,label
0.20827,0.97664,1.00000
0.77325,-1.18388,1.00000
-0.89547,0.38690,1.00000
-2.03068,2.06449,1.00000
1.86756,0.90604,1.00000
0.85683,-0.65103,1.00000
-1.61390,-0.21274,1.00000
0.69154,0.69475,1.00000
-0.59732,-0.23792,1.00000
0.94725,-0.15501,1.00000
1.49408,-0.20516,1.00000
0.39601,-1.09306,1.00000
-1.84307,-0.47797,1.00000
-0.09845,-0.66348,1.00000
-0.44092,-0.28036,1.00000
-0.38488,0.09435,1.00000
-0.64362,-2.22340,1.00000
0.68982,1.30185,1.00000
-0.81315,-1.72628,1.00000
0.77179,0.82350,1.00000
0.62523,-1.60206,1.00000
-0.39945,0.37006,1.00000
-0.90730,0.05195,1.00000
-1.75589,0.45093,1.00000
-0.03928,-1.16809,1.00000
0.86444,-0.74217,1.00000
-0.04217,-0.28689,1.00000
0.49374,-0.11610,1.00000
-0.65241,-0.39095,1.00000
0.72909,0.12898,1.00000
-0.11054,1.02017,1.00000
0.46566,-1.53624,1.00000
-1.22544,0.84436,1.00000
-1.49126,0.43939,1.00000
0.52106,-0.57579,1.00000
-0.02818,0.42833,1.00000
-0.26800,0.80246,1.00000
-0.06163,-0.10731,1.00000
-0.63585,0.67643,1.00000
0.29824,1.32639,1.00000
-0.10322,0.41060,1.00000
1.06851,-0.45339,1.00000
1.53278,1.46936,1.00000
-1.29286,0.26705,1.00000
-0.86123,1.91006,1.00000
-1.07075,1.05445,1.00000
0.78633,-0.46642,1.00000
-0.34791,0.15635,1.00000
1.12664,-1.07993,1.00000
-1.18886,-0.50682,1.00000
1.09966,0.65526,1.00000
0.74719,-1.18894,1.00000
0.37643,-1.09940,1.00000
1.95591,0.39009,1.00000
0.57852,0.34965,1.00000
-0.36469,0.15670,1.00000
-0.49803,1.92953,1.00000
-0.63744,-0.39727,1.00000
0.39905,-2.77259,1.00000
-0.65229,-0.52119,1.00000
-0.88779,-1.98080,1.00000
-1.17312,1.94362,1.00000
0.44386,0.33367,1.00000
0.14195,-0.31933,1.00000
-0.91282,1.11702,1.00000
-1.00022,-1.54477,1.00000
-1.33426,-1.34672,1.00000
1.13940,-1.23483,1.00000
0.94942,0.08755,1.00000
-0.38733,-0.30230,1.00000
-0.50965,-0.43807,1.00000
-0.95595,-0.34598,1.00000
0.67229,0.40746,1.00000
-1.12683,-0.73068,1.00000
0.15651,0.23218,1.00000
-0.73956,1.54301,1.00000
